AeroDyn airfoil file Created with QBlade CE v2.0.7.7_beta windows on 09.12.2024 at 11:30:01 Compatible with AeroDyn v13.0.
Polar "NACA_0060_20_Re6.000_M0.00_N9.0 360 M" on Foil "NACA 0060_20" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
-1.50          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-4.07          Angle of attack for zero Cn for linear Cn curve (deg)
-0.46643       Cn slope for zero lift for linear Cn curve (1/rad)
0.1610         Cn at stall value for positive angle of attack for linear Cn curve
-0.8613        Cn at stall value for negative angle of attack for linear Cn curve
-1.50          Angle of attack for minimum CD (deg)
0.0223         Minimum CD value
  -180.000  0.000034  0.006002  0.000012
  -179.000  0.036239  0.006410  0.012779
  -178.000  0.072432  0.007636  0.025478
  -177.000  0.108510  0.009678  0.038076
  -176.000  0.144158  0.012532  0.050467
  -175.000  0.178753  0.016197  0.062439
  -174.000  0.211386  0.020666  0.073688
  -173.000  0.241080  0.025935  0.083889
  -172.000  0.267177  0.031998  0.092838
  -171.000  0.289669  0.038846  0.100553
  -170.000  0.309205  0.046472  0.107282
  -169.000  0.326777  0.054866  0.113379
  -168.000  0.343332  0.064018  0.119180
  -167.000  0.359553  0.073917  0.124922
  -166.000  0.375818  0.084551  0.130740
  -165.000  0.392272  0.095907  0.136684
  -164.000  0.408916  0.107971  0.142759
  -163.000  0.425674  0.120728  0.148942
  -162.000  0.442439  0.134163  0.155202
  -161.000  0.459099  0.148259  0.161505
  -160.000  0.475547  0.163000  0.167820
  -159.000  0.491688  0.178367  0.174122
  -158.000  0.507435  0.194341  0.180387
  -157.000  0.522717  0.210904  0.186595
  -156.000  0.537469  0.228034  0.192734
  -155.000  0.551638  0.245712  0.198788
  -154.000  0.565175  0.263915  0.204749
  -153.000  0.578038  0.282621  0.210608
  -152.000  0.590193  0.301808  0.216360
  -151.000  0.601607  0.321452  0.221998
  -150.000  0.612252  0.341530  0.227519
  -149.000  0.622105  0.362016  0.232921
  -148.000  0.631143  0.382886  0.238200
  -147.000  0.639349  0.404114  0.243355
  -146.000  0.646706  0.425675  0.248386
  -145.000  0.653200  0.447542  0.253292
  -144.000  0.658820  0.469689  0.258073
  -143.000  0.663555  0.492088  0.262729
  -142.000  0.667399  0.514713  0.267261
  -141.000  0.670344  0.537536  0.271670
  -140.000  0.672387  0.560528  0.275957
  -139.000  0.673525  0.583662  0.280124
  -138.000  0.673756  0.606911  0.284172
  -137.000  0.673081  0.630244  0.288102
  -136.000  0.671503  0.653635  0.291917
  -135.000  0.669024  0.677054  0.295617
  -134.000  0.665649  0.700473  0.299206
  -133.000  0.661385  0.723863  0.302685
  -132.000  0.656238  0.747197  0.306055
  -131.000  0.650219  0.770445  0.309319
  -130.000  0.643337  0.793579  0.312479
  -129.000  0.635603  0.816571  0.315537
  -128.000  0.627030  0.839393  0.318493
  -127.000  0.617632  0.862017  0.321350
  -126.000  0.607424  0.884416  0.324110
  -125.000  0.596422  0.906562  0.326775
  -124.000  0.584642  0.928429  0.329344
  -123.000  0.572104  0.949989  0.331821
