RootFxb1	RootFyb1	RootFzb1	RootMxb1	RootMyb1	RootMzb1	RootFxc1	RootFyc1	RootMxc1	RootMyc1
108	12.88	-97.2	-240.9	2429	-19.86	12.88	-108	2429	240.9
-180.9	22.16	-30.48	-473.5	-2463	-28.22	22.16	180.9	-2463	471.8
-31.75	42.08	190	-1026	90.74	-16.62	42.08	31.75	90.74	1026
-6.211	-2.841	-193.5	303.2	476.1	-18.62	-2.841	6.211	476.1	-303.2
-74.77	32.66	197.1	-681.5	-1542	-4.744	32.66	75.27	-1542	681.6
-36.99	3.196	-198.2	42.03	-272.3	-15.78	3.196	35.43	-272.3	-43.71
-145.8	5.588	-63.26	344.7	-530	-32.54	5.588	145.8	-530	-344.7
-33	41.95	189.9	-1027	35.34	-17.69	41.95	33	35.34	1027
108	12.88	-97.2	-240.9	2429	-19.86	12.88	-108	2429	240.9
-161.1	13.35	-82.08	-169.4	-2579	-28.27	13.35	161.1	-2579	169.4
41.41	30.42	115.3	-637.2	1249	34.29	30.42	-41.41	1249	637.2
-139.4	16.87	32.18	-7.867	-108.1	-53.57	16.87	139.4	-108.1	7.867
-31.75	42.08	190	-1026	90.74	-16.62	42.08	31.75	90.74	1026
-6.211	-2.841	-193.5	303.2	476.1	-18.62	-2.841	6.211	476.1	-303.2
-180.9	22.26	-30.38	-471.8	-2457	-27.45	22.26	180.9	-2457	473.5
108	12.88	-97.2	-240.9	2429	-19.86	12.88	-108	2429	240.9
108	12.88	-97.2	-240.9	2429	-19.86	12.88	-108	2429	240.9
-161.1	13.35	-82.08	-169.4	-2579	-28.27	13.35	161.1	-2579	169.4
-33	41.95	189.9	-1027	35.34	-17.69	41.95	33	35.34	1027
-145.8	5.588	-63.26	344.7	-530	-32.54	5.588	145.8	-530	-344.7
YawBrFxp	YawBrFyp	YawBrFzp	YawBrMxp	YawBrMyp	YawBrMzp
105.1	-23.78	-1604	13.02	-2048	189
-59.44	-6.586	-1699	266.7	-3464	-18.24
34.13	138.4	-1676	-242.9	-2846	-463.3
5.413	-134.1	-1667	602.1	-3136	748.3
88.28	7.944	-1560	602.5	-1912	742.4
-11.32	21.32	-1738	575.7	-3416	-95.19
53.77	-55.51	-1612	961.3	-2172	472.3
53.15	37.4	-1663	-707.6	-2801	-200.2
100.1	6.329	-1562	103.4	-1830	548
15.76	-48.36	-1697	239.7	-3827	553.7
5.94	-48.95	-1622	95.79	-2684	1192
16.63	42.26	-1643	-129.3	-3009	-923.3
TwrBsFxt	TwrBsFyt	TwrBsFzt	TwrBsMxt	TwrBsMyt	TwrBsMzt
534.4	11.68	-9481	-1264	43930	490.5
48.58	-101.4	-9575	10290	-2659	-65.54
146.8	238	-9577	-21900	8050	-286.1
286.4	-230.5	-9555	24440	22150	533.3
489.2	28.84	-9463	460.3	40920	748
152.4	60.09	-9640	-5811	6811	-77.24
286.4	-230.4	-9555	24440	22150	537.3
149.2	235.7	-9578	-21960	8477	-293.3
533.7	12.1	-9483	-1363	43960	481.8
58.66	63.27	-9598	-4701	-3406	-2.5
251.5	41.52	-9524	86.58	17800	1192
318.5	-23.89	-9545	-814.5	23780	-923.4
