RootFxb1	RootFyb1	RootFzb1	RootMxb1	RootMyb1	RootMzb1	RootFxc1	RootFyc1	RootMxc1	RootMyc1
126.7	17.75	-9.206	-213.7	2870	3.14	17.75	-126.7	2870	213.7
-174.4	23.41	19.26	-433.8	-2012	-25.19	23.41	174.4	-2012	433.8
-79.45	40.29	195.6	-937.8	-1110	-7	40.29	79.45	-1110	937.8
-91.47	-0.3271	-172.1	191.3	-248.6	-30.73	-0.3271	91.47	-248.6	-191.3
-55.28	32.67	198.3	-684.6	-839.5	-11.05	32.67	55.9	-839.5	690.9
-63.23	5.652	-198.7	-89.2	-349	-23.25	5.652	50.96	-349	59.71
-160	2.377	-53.2	401.5	-1888	-19.32	2.377	160	-1888	-401.5
-123.2	37.73	146.8	-1005	-1455	-27.56	37.73	123	-1455	1005
89.65	13.61	-118.6	-206.8	3275	-2.545	13.61	-89.65	3275	206.8
-160.7	15.73	-122.2	-268.4	-2653	-26.86	15.73	160.7	-2653	268.4
54.4	11.7	-47.55	97.46	278.7	26.33	11.7	-54.4	278.7	-97.46
-134.7	17.2	-23.92	-304.2	-468.2	-51.85	17.2	134.7	-468.2	304.2
-79.45	40.29	195.6	-937.8	-1110	-7	40.29	79.45	-1110	937.8
-91.47	-0.3271	-172.1	191.3	-248.6	-30.73	-0.3271	91.47	-248.6	-191.3
-174.4	23.41	19.26	-433.8	-2012	-25.19	23.41	174.4	-2012	433.8
126.7	17.75	-9.206	-213.7	2870	3.14	17.75	-126.7	2870	213.7
89.65	13.61	-118.6	-206.8	3275	-2.545	13.61	-89.65	3275	206.8
-160.7	15.73	-122.2	-268.4	-2653	-26.86	15.73	160.7	-2653	268.4
-123	37.74	146.9	-1005	-1447	-27.54	37.74	123.2	-1447	1005
-160	2.377	-53.2	401.5	-1888	-19.32	2.377	160	-1888	-401.5
YawBrFxp	YawBrFyp	YawBrFzp	YawBrMxp	YawBrMyp	YawBrMzp
103.1	28.24	-1663	110.7	-2179	-317.5
-52.82	-32.09	-1697	230.4	-3267	-147.9
6.357	128.9	-1665	-313.1	-2895	-728.9
18.38	-155.2	-1682	401.7	-3114	566.7
20.95	-16.63	-1560	524	-2069	498.9
18.24	-91	-1731	-66.83	-3460	-46.64
-13.3	-7.148	-1627	965.1	-2687	504.5
20.18	57.29	-1656	-719.7	-2807	30.98
65.84	60.49	-1585	-74.09	-1713	-620.9
-3.254	-35.02	-1729	300.5	-3757	226.7
38.28	-67.4	-1664	552.7	-2942	1289
49.01	56.62	-1661	113.6	-2599	-913.3
TwrBsFxt	TwrBsFyt	TwrBsFzt	TwrBsMxt	TwrBsMyt	TwrBsMzt
508.1	59.33	-9559	-4264	39860	158
72.86	-44.93	-9611	2900	-899.3	81.1
311.5	208.8	-9538	-21770	23980	-631.6
297.5	-253.1	-9563	28060	19380	685.6
310.7	24.49	-9462	657.6	22940	498.9
222.5	-93.95	-9633	14250	14320	-46.47
304.9	-250.3	-9565	28160	19690	676.5
209.2	183.8	-9572	-23130	14000	-762
504.2	55.51	-9565	-5280	42010	-318.5
74.66	-66.97	-9609	3423	-1073	124.7
197.1	-52.86	-9565	8665	15560	1289
401.1	-22.67	-9564	-1601	30750	-913.3
