RootFxb1	RootFyb1	RootFzb1	RootMxb1	RootMyb1	RootMzb1	RootFxc1	RootFyc1	RootMxc1	RootMyc1
113.9	12.1	-4.774	18.53	2314	-0.05099	12.1	-113.9	2314	-13.21
-185.7	20.25	63.72	-341.6	-2982	-30.18	20.25	185.7	-2982	341.6
-55.75	42.72	195.1	-1055	56.94	-1.133	42.72	55.75	56.94	1055
-54.96	-0.02304	-186.8	329.5	1068	-32.42	-0.02304	54.96	1068	-329.5
-46.16	32.72	196.9	-700.1	543.7	-13.34	32.72	52.54	543.7	745.2
-54.56	10.49	-198.7	-228.6	774.7	-28.11	10.49	54.47	774.7	227.9
-136.4	4.567	-25.72	500.9	94.37	-42.43	4.567	136.4	94.37	-500.9
-51.58	38.86	194.8	-1088	-414.5	-3.611	38.86	51.03	-414.5	1088
75.67	23.63	-108.2	-537.1	2458	-7.28	23.63	-75.67	2458	537.1
-185.6	20.46	63.72	-349.5	-2984	-29.68	20.46	185.6	-2984	349.5
5.365	16.05	-95.09	-118.9	192.1	36.19	16.05	-5.365	192.1	118.9
-117.3	19.05	-57.85	-130.9	482.5	-57.72	19.05	117.3	482.5	130.9
-55.75	42.72	195.1	-1055	56.94	-1.133	42.72	55.75	56.94	1055
-54.96	-0.02304	-186.8	329.5	1068	-32.42	-0.02304	54.96	1068	-329.5
-185.7	20.25	63.72	-341.6	-2982	-30.18	20.25	185.7	-2982	341.6
113.9	12.03	-4.872	13.21	2314	-0.3926	12.03	-113.9	2314	-18.53
75.67	23.63	-108.2	-537.1	2458	-7.28	23.63	-75.67	2458	537.1
-185.6	20.46	63.72	-349.5	-2984	-29.68	20.46	185.6	-2984	349.5
-51.03	39.05	194.8	-1088	-400	-2.804	39.05	51.58	-400	1088
-136.4	4.567	-25.72	500.9	94.37	-42.43	4.567	136.4	94.37	-500.9
YawBrFxp	YawBrFyp	YawBrFzp	YawBrMxp	YawBrMyp	YawBrMzp
108.4	-35.08	-1638	-45.02	-2524	522.6
-49.49	4.99	-1679	-33.12	-3005	-188.2
25.99	119	-1668	41.83	-2889	-376.9
-5.046	-128	-1638	351.3	-3103	909.7
21.89	2.737	-1563	280.4	-2654	798.9
42.55	-18.59	-1731	45.04	-3461	7.91
18.44	-76.45	-1648	1031	-3227	742.3
51.73	21.62	-1679	-677.8	-2775	-104.6
54.82	21.95	-1609	172.1	-1870	250.1
-17.64	-46.3	-1707	103.4	-3776	22.76
6.213	-18.38	-1631	-10.09	-3097	1153
33.81	102.2	-1695	-119.1	-3086	-1041
TwrBsFxt	TwrBsFyt	TwrBsFzt	TwrBsMxt	TwrBsMyt	TwrBsMzt
489.6	-29.49	-9513	4746	39940	243.3
65.48	-123	-9577	10720	275.7	19.17
310.3	234.5	-9531	-25660	21810	29.21
163.1	-253.3	-9539	24550	7138	180.9
238	-6.097	-9465	493.4	17700	798.9
352.6	1.14	-9633	239.3	26430	7.843
163.4	-252.8	-9540	24570	7148	193.2
310.3	234.5	-9531	-25670	21810	16.27
479.9	-54.78	-9525	9588	40240	716.4
72.05	-142.2	-9580	11590	131.8	-25.41
244.2	-30.84	-9532	3467	15580	1153
286	125.6	-9597	-17250	20210	-1041
