RootFxb1	RootFyb1	RootFzb1	RootMxb1	RootMyb1	RootMzb1	RootFxc1	RootFyc1	RootMxc1	RootMyc1
130.3	20.2	53.68	-383.8	3124	-4.675	20.2	-130.3	3124	383.8
-168.2	17.88	-142.4	-326.2	-2447	-33.37	17.88	168.2	-2447	326.2
-31.16	41.89	183.1	-931.1	-228.2	-6.006	41.89	31.16	-228.2	931.1
-21.44	0.2984	-195.7	282.6	144	-27.06	0.2984	21.44	144	-282.6
-40.49	34.83	197.2	-847	-1097	-19.15	34.83	42.33	-1097	858
-46.17	11.9	-198.4	-222.8	702.4	-26.36	11.9	45.44	702.4	189.5
-111.2	4.76	-64.37	351.3	686.6	-42.52	4.76	111.2	686.6	-351.3
-48.42	39.31	196.3	-1081	-993.7	-27.14	39.31	46.21	-993.7	1081
128.5	22.98	53.36	-515.1	3289	-4.365	22.98	-128.5	3289	515.1
-163.8	26.33	109.3	-501.9	-3095	-24.93	26.33	163.8	-3095	501.9
23.76	32.5	32.36	-618.1	623.2	30.04	32.5	-23.76	623.2	618.1
-136.8	22.4	-2.601	-318.6	483.2	-53.81	22.4	136.8	483.2	318.6
-31.16	41.89	183.1	-931.1	-228.2	-6.006	41.89	31.16	-228.2	931.1
-21.44	0.2984	-195.7	282.6	144	-27.06	0.2984	21.44	144	-282.6
-168.2	17.88	-142.4	-326.2	-2447	-33.37	17.88	168.2	-2447	326.2
130.3	20.2	53.68	-383.8	3124	-4.675	20.2	-130.3	3124	383.8
128.5	22.98	53.36	-515.1	3289	-4.365	22.98	-128.5	3289	515.1
-163.8	26.33	109.3	-501.9	-3095	-24.93	26.33	163.8	-3095	501.9
-46.21	39.42	196.3	-1081	-931.3	-26.45	39.42	48.42	-931.3	1081
-111.2	4.76	-64.37	351.3	686.6	-42.52	4.76	111.2	686.6	-351.3
YawBrFxp	YawBrFyp	YawBrFzp	YawBrMxp	YawBrMyp	YawBrMzp
94.45	-18.36	-1627	474.3	-2234	387
-41.83	35.66	-1699	-294.8	-3332	-82.78
61.7	125.7	-1621	-138.5	-2438	-97.4
-6.624	-140.3	-1660	500.9	-3093	478.6
23.7	-10.31	-1565	741.7	-2108	548.6
-3.229	20.69	-1747	-267.8	-3838	-80.93
13.77	-42.59	-1584	1004	-2601	432.2
44.62	67.51	-1597	-695.2	-2483	-244.7
15.62	-64.94	-1623	349.2	-1818	173.3
-3.004	22.3	-1747	-245.5	-3838	-74.11
28.4	-63.11	-1612	290.3	-2642	1172
44.55	41.58	-1691	-20.12	-3079	-868.3
TwrBsFxt	TwrBsFyt	TwrBsFzt	TwrBsMxt	TwrBsMyt	TwrBsMzt
428.8	-234.5	-9500	26110	31550	354.4
53.34	-59.95	-9570	8023	-876.4	159.3
324.3	262.5	-9524	-23860	27970	115.8
302.4	-237.8	-9572	26030	25150	467.8
292.5	56.71	-9467	-2747	21800	548.7
171.1	25.7	-9649	-4747	8337	-74.16
215	-202.7	-9579	26150	12750	680.2
325.3	259.6	-9524	-23920	28000	105
416	-39.46	-9500	5536	35080	134.4
53.58	-63.99	-9569	8162	-878.9	162
257.6	-72.85	-9514	10440	19930	1172
234.3	-13.46	-9593	-1542	18080	-868.4
