RootFxb1	RootFyb1	RootFzb1	RootMxb1	RootMyb1	RootMzb1	RootFxc1	RootFyc1	RootMxc1	RootMyc1
109.7	15.55	-34.79	-246.8	2486	7.087	15.55	-109.7	2486	246.8
-172.2	19.87	-34.81	-189.4	-1339	-26.49	19.87	172.2	-1339	186.6
-33.08	43.73	184.9	-1126	-592.1	-11.04	43.73	33.08	-592.1	1126
3.886	-1.363	-180.3	208.5	697	-4.558	-1.363	-3.886	697	-208.5
-21.41	36.95	197.9	-831.9	427.6	-32.36	36.95	21.72	427.6	840.9
-51.98	3.13	-198.8	103.9	94.75	-19.52	3.13	51.15	94.75	-108.1
-122.8	6.079	-47.1	327.1	277.4	-35.3	6.079	122.8	277.4	-327.1
-34.07	43.66	184	-1133	-543.3	-9.097	43.66	33.61	-543.3	1133
92.07	15.44	-122.6	-165.6	3017	-9.547	15.44	-92.07	3017	165.6
-168	28.33	69.41	-570.5	-2809	-24.6	28.33	168	-2809	570.5
12.04	24.93	44.53	-366.1	-66.15	27.38	24.93	-11.71	-66.15	377.9
-102.4	13.67	-140	-162.5	221.8	-55.24	13.67	102.4	221.8	162.5
-33.08	43.73	184.9	-1126	-592.1	-11.04	43.73	33.08	-592.1	1126
3.886	-1.363	-180.3	208.5	697	-4.558	-1.363	-3.886	697	-208.5
-172.2	20.02	-34.59	-186.6	-1327	-26.26	20.02	172.2	-1327	189.4
109.7	15.55	-34.79	-246.8	2486	7.087	15.55	-109.7	2486	246.8
92.07	15.44	-122.6	-165.6	3017	-9.547	15.44	-92.07	3017	165.6
-168	28.33	69.41	-570.5	-2809	-24.6	28.33	168	-2809	570.5
-33.61	43.67	184.2	-1133	-540.8	-8.468	43.67	34.07	-540.8	1133
-122.8	6.079	-47.1	327.1	277.4	-35.3	6.079	122.8	277.4	-327.1
YawBrFxp	YawBrFyp	YawBrFzp	YawBrMxp	YawBrMyp	YawBrMzp
120.8	-51.1	-1594	-263.5	-1899	593.2
-57.67	30.58	-1651	-360	-2993	614
50.52	122.6	-1649	-249.1	-2770	-570.1
-25.48	-126.2	-1651	170.6	-2989	811
45.29	-39.61	-1569	515.5	-2530	1137
7.174	-14.43	-1738	409.2	-3676	-229.7
39.23	-52.46	-1624	1073	-2955	631.6
2.847	76.06	-1627	-580.9	-2687	-497
108.9	-51.52	-1573	83.48	-1784	487.5
47.81	75.33	-1717	-193.4	-3724	-144.9
20.11	-44.41	-1570	494.9	-2547	1138
19.19	104.5	-1640	-484.3	-2666	-1054
TwrBsFxt	TwrBsFyt	TwrBsFzt	TwrBsMxt	TwrBsMyt	TwrBsMzt
458.8	48.08	-9546	-2266	36500	214.1
62.47	97.3	-9551	-8285	-812.9	507
209	212.9	-9580	-20560	14570	-98.52
236.9	-219.6	-9549	21550	14690	753.4
216.5	-48.23	-9470	7139	17930	1102
211.5	-14.64	-9640	1698	12720	-229.7
271.1	-207.1	-9578	22340	22620	603
320.1	178.1	-9561	-21500	24970	-972.4
435.6	90.05	-9556	-11150	38580	-157.9
62.93	98.49	-9547	-8350	-817.4	523.4
238.2	-32.25	-9472	6128	17810	1138
306.3	105	-9542	-16490	21420	-1054
