RootFxb1	RootFyb1	RootFzb1	RootMxb1	RootMyb1	RootMzb1	RootFxc1	RootFyc1	RootMxc1	RootMyc1
120	24.46	58.9	-586.2	2766	-6.094	24.46	-120	2766	586.2
-183.7	20.95	-36.93	-375.8	-2839	-25.63	20.95	183.7	-2839	370.9
-116.8	42.25	141.2	-1069	-404.9	-45.83	42.25	116.8	-404.9	1069
-54.78	-1.777	-184.3	316.7	314.1	-20.31	-1.777	54.78	314.1	-316.7
-47.95	34.93	196.8	-650.2	39.01	2.686	34.93	64.75	39.01	843.2
-58.91	6.725	-198	-36.52	-138.2	-29.94	6.725	54.43	-138.2	-17.64
-45.32	-1.611	-183.8	373.6	660.4	-24.03	-1.611	45.41	660.4	-373.6
-115.1	41.78	141.4	-1076	-297	-45.78	41.78	115.1	-297	1076
119.8	24.44	58.7	-585	2768	-5.831	24.44	-119.8	2768	585
-180.3	18.44	13.98	-326.9	-2853	-20.2	18.44	180.3	-2853	326.9
4.236	32.66	123.5	-751	268.8	32.27	32.66	-4.207	268.8	756.3
-130.2	15.61	-129.4	-214.5	-641	-74.02	15.61	130.2	-641	214.5
-116.8	42.25	141.2	-1069	-404.9	-45.83	42.25	116.8	-404.9	1069
-54.78	-1.777	-184.3	316.7	314.1	-20.31	-1.777	54.78	314.1	-316.7
-183.7	21.01	-36.83	-370.9	-2832	-25.34	21.01	183.7	-2832	375.8
120	24.46	58.9	-586.2	2766	-6.094	24.46	-120	2766	586.2
119.8	24.44	58.7	-585	2768	-5.831	24.44	-119.8	2768	585
-180.3	18.44	13.98	-326.9	-2853	-20.2	18.44	180.3	-2853	326.9
-115.1	41.78	141.4	-1076	-297	-45.78	41.78	115.1	-297	1076
-45.41	-1.669	-183.9	373.6	643.9	-24.08	-1.669	45.32	643.9	-373.6
YawBrFxp	YawBrFyp	YawBrFzp	YawBrMxp	YawBrMyp	YawBrMzp
115.4	33.44	-1580	-205.2	-1831	-219.5
-60.05	7.373	-1712	14.53	-3851	-165.9
16.11	134.4	-1612	-110.1	-2558	-355.1
35.42	-135.3	-1632	363.8	-2798	1178
60.37	37.31	-1546	-62.64	-1897	278
24.21	-53.19	-1727	322.1	-3186	393.2
47.01	-37.13	-1655	914.2	-3127	153
10.08	71.12	-1620	-653.9	-2572	225.5
112.3	55.91	-1576	366.7	-1807	204.6
-11.86	38.41	-1706	29.76	-3909	-173.5
56.66	-80.18	-1618	302.7	-2753	1307
65.46	69.94	-1608	98.34	-2044	-1263
TwrBsFxt	TwrBsFyt	TwrBsFzt	TwrBsMxt	TwrBsMyt	TwrBsMzt
503.4	117.9	-9486	-8088	44830	287.7
74.3	-115.7	-9574	7763	3119	580.8
237.9	208.7	-9538	-24570	16440	-244.9
210.4	-240.6	-9547	25110	14910	348.5
363.1	50.21	-9449	-5791	30690	280.6
203	-79.15	-9629	9305	15560	407.3
206.6	-236.7	-9546	25260	14550	364.3
258.6	203.9	-9508	-25630	18710	-311.1
493.4	9.712	-9481	-2808	45350	155.1
86.37	48.16	-9601	-7254	-3185	-433.1
408.9	0.2438	-9520	5222	31900	1307
435.2	121.6	-9511	-14540	36370	-1264
