RootFxb1	RootFyb1	RootFzb1	RootMxb1	RootMyb1	RootMzb1	RootFxc1	RootFyc1	RootMxc1	RootMyc1
522.916666666667	-217.766666666667	902.816666666667	5961	11393.6666666667	-174.551666666667	337.3	-456.433333333333	11026.2666666667	6767.83333333333
-200.716666666667	-59.26	770.766666666667	4334.6	-13012.1666666667	286.2165	-200.435	52.695	-3012.06666666667	-13282.6666666667
121.295	837.3	859.15	-34928.3333333333	2252.43333333333	-674.683333333333	553.2	640.416666666667	-28211.6666666667	20710
223.133333333333	-811.866666666667	734.816666666667	32483.3333333333	-929.95	658.623333333333	-250.311666666667	-803.133333333333	26820	-18328.6666666667
127.391666666667	134.848333333333	1560.83333333333	-4217.56666666667	-572.066666666667	-314.616666666667	179.891666666667	49.0251666666667	-3874.39666666667	1884.96166666667
55.6366666666667	-17.1295	-127.916666666667	620.101666666667	843	-32.1166666666667	-7.93898333333333	-57.735	931.685	-489.358383333333
204.133333333333	-798.483333333333	716.483333333333	32938.3333333333	-1418.23333333333	806.261666666667	-261.720833333333	-779.483333333333	26918.3333333333	-18992
117.803333333333	825.5	856.5	-35091.6666666667	1673.35	-719.266666666667	546.466666666667	629.983333333333	-28573.3333333333	20418.5
493.783333333333	-13.235	1011.76666666667	-935.583333333333	13301.6666666667	-220.083333333333	414.816666666667	-266.45	6058	11906
-175.533333333333	-257.66	854.866666666667	12299.3333333333	-13813.3333333333	655.916666666667	-283.351666666667	-130.666666666667	3432	-18356
22.5873333333333	-607.55	767.033333333333	27273.1666666667	-8730.33333333333	1403.1	-310.276666666667	-522.983333333333	18288.5	-22074.6666666667
104.343	628.283333333333	956.733333333333	-27891.6666666667	-1605.81666666667	-1102.23333333333	423.516666666667	476.933333333333	-24486.6666666667	13376
312.183333333333	667.583333333333	912.116666666667	-29469.5	7446.66666666667	-465.45	628.05	395.2	-20802.1666666667	22292
-36.29	-649.316666666667	831.516666666667	28207.6666666667	-9141	1119.63333333333	-380.633333333333	-528.15	18892.8333333333	-22905
48.6383333333333	811.833333333333	866.333333333333	-33395	-479.566666666667	-775.333333333333	473.7	660.35	-28456.6666666667	17398
389.4	-776.9	756.85	30951.6666666667	6038	-23.1833333333333	-85.0166666666667	-863.8	29381.6666666667	-11428.5
392.866666666667	-765.666666666667	713.316666666667	31088.3333333333	6656.43333333333	-53.1466666666667	-76.2316666666667	-853.9	29771.6666666667	-10943.6666666667
74.515	804.933333333333	926.333333333333	-33915	-767.683333333333	-931.766666666667	493.733333333333	640.2	-29056.6666666667	17499.1666666667
259.233333333333	725.021666666667	797.816666666667	-31031.5	6891.66666666667	-473.816666666667	613.616666666667	469.966666666667	-22348.05	22720
-25.5583333333333	-656.466666666667	781.216666666667	28642.6666666667	-9416.5	1279.35	-373.866666666667	-541.1	19078	-23393.3333333333
YawBrFxp	YawBrFyp	YawBrFzp	YawBrMxp	YawBrMyp	YawBrMzp
940.583333333333	190.31	-3543.33333333333	2919.66666666667	-14878.5666666667	-5983.55
-508.25	-110.088333333333	-3447.33333333333	3742.33333333333	16740	4922.7
336.586666666667	648.4	-3368.33333333333	3965.5	-5395.66666666667	8375.5
86.512	-678.533333333333	-3251.16666666667	4844.16666666667	5447.16666666667	14526.5
145.728166666667	-183.358333333333	-2860.33333333333	3427	16488.1666666667	15753.3333333333
305.235	-151.643866666667	-4097	897.466666666667	-12212.4666666667	-23026.8333333333
347.263333333333	-128.871666666667	-3342.33333333333	7505.83333333333	-6819.16666666667	19889.5
326.213333333333	-22.7566666666667	-3643.83333333333	-1857.8	172.833333333333	-24157
-135.398333333333	-192.026266666667	-3251.16666666667	2988.16666666667	29606.6666666667	-4355.83333333333
399.866666666667	-120.903333333333	-3641.16666666667	3471.33333333333	-33338.3333333333	-4341.83333333333
202.271666666667	-285.175	-3303.83333333333	5638.66666666667	-3670.33333333333	30691.6666666667
165.103333333333	-16.995	-3729	832.48	-1452.33333333333	-36100
TwrBsFxt	TwrBsFyt	TwrBsFzt	TwrBsMxt	TwrBsMyt	TwrBsMzt
1814.16666666667	643.35	-11443.3333333333	-32087	140566.666666667	-5180.33333333333
-944.866666666667	-58.2116666666667	-11023.3333333333	16541.65	-48946.6666666667	2038.26666666667
1057.35	1201.88333333333	-11106.6666666667	-68563.3333333333	81928.3333333333	17248.6666666667
26.265	-1162.98333333333	-11163.3333333333	83188.3333333333	8746.5	8220.13333333333
-189.981666666667	167.776666666667	-10678.3333333333	7198.83333333333	10454.6666666667	16051
1032.76666666667	60.675	-11920	3218.16666666667	89761.6666666667	-23410.1666666667
253.7	-982.416666666667	-11335	98691.6666666667	30063.3333333333	-6891.19166666667
979.083333333333	1009.16666666667	-11446.6666666667	-86980	77324.3333333333	-8823.16666666667
1750.83333333333	457.016666666667	-11438.3333333333	-20325.3333333333	144483.333333333	-6584.16666666667
-907.583333333333	-149.95	-11120	31386.1666666667	-53775	-613.566666666666
668.083333333333	436.775	-11125	-11329.3333333333	60543.3333333333	30693.3333333333
631.283333333333	-309.533333333333	-11548.3333333333	25263.5	58115	-36096.6666666667
