RootFxb1	RootFyb1	RootFzb1	RootMxb1	RootMyb1	RootMzb1	RootFxc1	RootFyc1	RootMxc1	RootMyc1
526.2	-352.7	695.2	14340	11740	-28.71	279	-568.7	18270	3222
-194.9	-267.3	980.2	13780	-15140	940	-302.8	-133.3	4316	-20010
199.2	917.5	871.8	-38830	4306	-807.4	662.8	665	-30370	24570
252	-900.5	830.3	35460	301.3	442.4	-285.5	-890.4	29760	-19280
192.4	62.23	1643	-5259	-2309	-632.4	197.4	-43.78	-5704	672.7
64.78	-25.18	-118	951.7	1285	-36.96	-14.33	-68.38	1421	-809.6
182.9	-893.7	625.7	37470	-3236	1221	-336.9	-847.1	29560	-23240
199.2	917.5	871.8	-38830	4306	-807.4	662.8	665	-30370	24570
475.5	67.92	1270	-1324	13710	-211.5	440.3	-191.9	6072	12360
-194.7	-269.9	968.8	13960	-15150	959.5	-303.9	-135.7	4470	-20110
39.29	-644.7	858.5	29780	-8042	1445	-310.9	-566.2	20890	-22700
125.4	735	765.6	-32980	397.3	-1165	516.1	540.3	-27330	18330
286.3	830.4	981	-35710	6641	-740.2	689.7	543.9	-26460	24890
129.2	-860.4	790.7	35250	-4465	1100	-362.5	-790.9	27060	-23020
12.37	854.8	636.4	-35190	-1665	-1014	480.5	707.2	-30310	17960
373.4	-880.5	786.5	34930	3747	423.8	-151.3	-944.4	31590	-15380
368.3	-877.5	739.1	35080	3823	426.9	-154.3	-939.1	31750	-15400
193.7	915.5	864.2	-38740	4094	-831.6	657	666.4	-30420	24350
251.6	884.3	934.2	-37690	5857	-755.9	689.4	608.3	-28560	25290
152.8	-889.4	716.8	36740	-3995	1178	-359	-827.9	28560	-23460
YawBrFxp	YawBrFyp	YawBrFzp	YawBrMxp	YawBrMyp	YawBrMzp
957.6	102.3	-3578	3132	-16660	-9590
-545.6	-40.11	-3292	3603	24010	11470
26.72	680	-3271	4971	12260	20600
62.32	-629.3	-3118	4948	7942	19950
162.9	-321.8	-2865	4180	8573	26560
350.1	-116.5	-4054	2038	-20200	-23200
561	-329.9	-3406	7953	-16330	18920
301.3	74.72	-3554	-1780	14070	-24030
-324.7	-0.3776	-3347	3849	32320	-14920
634.4	76.64	-3461	4741	-35690	3065
415	-57.2	-3307	5885	-1146	31770
-23.19	-29.64	-3773	17.78	-1445	-39460
TwrBsFxt	TwrBsFyt	TwrBsFzt	TwrBsMxt	TwrBsMyt	TwrBsMzt
1857	229	-11520	12540	140500	-16010
-1011	-80.94	-11130	4503	-55160	489.4
846.2	1328	-11030	-64330	57330	28690
-435.7	-1084	-11080	44320	-23290	20450
10.91	595.4	-10680	-20150	18940	26560
1358	47.16	-11880	4940	110700	-23190
205	-918	-11370	99860	44660	-12110
1193	1072	-11430	-84630	90260	-3450
1857	229	-11520	12540	140500	-16010
-1009	-143.5	-11130	7065	-55250	906.4
474.3	-294.9	-11130	29380	63730	31770
1073	-673.5	-11590	53040	78570	-39460
