RootFxb1	RootFyb1	RootFzb1	RootMxb1	RootMyb1	RootMzb1	RootFxc1	RootFyc1	RootMxc1	RootMyc1
504.4	-172.7	951.9	3889	11870	-235.8	342.5	-408.6	9463	8148
-163.3	20.34	608.5	119.6	-10280	7.649	-127.9	103.5	-5330	-8794
114.1	890.8	1029	-38000	497.6	-825.7	575.6	689.4	-31760	20870
269.9	-846.3	681.9	34850	-815.3	986.5	-223	-860.1	29050	-19290
202	217.8	1620	-5700	4296	-242.9	288.2	72.02	-2445	7419
31.89	-9.754	-121.9	347.4	-296.1	-35.64	-4.478	-33.05	-236.1	-390.7
273.3	-843.2	656.5	35030	-632.1	993.2	-218.5	-859	29300	-19220
123	848.7	1035	-38170	896.1	-714.8	567.2	643.2	-31460	21630
501.9	-85.62	948.4	649.5	13370	-210	387.8	-329.9	7383	11160
-132.9	-204.7	808.6	8372	-12110	331	-217.6	-108.8	1016	-15030
1.634	-780.4	662.1	34130	-9685	1692	-422.9	-655.8	23380	-26690
169	546.1	754.8	-25810	-409.6	-1067	429.3	377.5	-22230	13130
365.3	684.7	1198	-29110	8816	-353.7	670.2	391.3	-20160	22770
14.08	-824.8	736.8	34870	-9558	1582	-436.2	-700.1	24090	-26970
97.35	888.2	1048	-37890	151.6	-825.9	560.1	696.2	-31850	20520
272.1	-845.4	669.2	35010	-702	991.9	-220.7	-860.2	29240	-19270
273.3	-839.2	656.5	35030	-576.4	994.2	-216.5	-855.6	29300	-19160
103	885.8	986.1	-38000	154	-845.9	563.7	691	-31940	20580
237	755.7	785	-32310	6489	-505.5	609.4	505.8	-23600	23000
4.752	-815.1	700	34740	-9712	1625	-436.1	-688.7	23880	-27030
YawBrFxp	YawBrFyp	YawBrFzp	YawBrMxp	YawBrMyp	YawBrMzp
952.2	69.36	-3580	1704	-12050	-6940
-413	-130.6	-3531	2424	3977	2560
488.8	683	-3314	3377	-26940	-216
218.5	-638.9	-3499	4280	-25230	9295
418.9	32.15	-2872	3173	13140	15560
280.6	-312.8	-4125	-1143	-4999	-34250
321.4	157.4	-3185	7442	-1155	13220
645	-140.4	-3812	-2486	-12330	-36190
-208.6	-518.8	-3058	1061	30410	-3228
260.3	-48.46	-3757	3999	-35580	-9731
134.6	-336	-3119	6648	-9889	32610
260.8	-50.14	-3851	-239	-4461	-41950
TwrBsFxt	TwrBsFyt	TwrBsFzt	TwrBsMxt	TwrBsMyt	TwrBsMzt
1890	375.3	-11530	3728	146100	-6435
-1006	119.1	-10890	28080	-58940	-392.8
742.6	1361	-10900	-74890	48410	21330
-510.2	-1181	-11080	82290	-8861	-4224
-130.8	-66.41	-10690	5737	31150	15560
976.2	348.7	-11950	-13170	94430	-35000
309.7	-882	-11310	96510	46080	48.85
1303	1148	-11560	-93100	108400	-8111
1890	375.3	-11530	3728	146100	-6435
-1006	119.1	-10890	28080	-58940	-392.8
469.6	609.5	-10940	-18860	34250	32610
1066	-202.2	-11670	17010	96540	-41940
