AeroDyn airfoil file Created with QBlade CE v2.0.7.7_beta windows on 09.12.2024 at 17:46:46 Compatible with AeroDyn v13.0.
Polar "NACA_0060_Re6.000_M0.00_N9.0 360 M" on Foil "NACA 0060" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
0.00           Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
0.00           Angle of attack for zero Cn for linear Cn curve (deg)
0.00000        Cn slope for zero lift for linear Cn curve (1/rad)
0.0000         Cn at stall value for positive angle of attack for linear Cn curve
0.0000         Cn at stall value for negative angle of attack for linear Cn curve
0.00           Angle of attack for minimum CD (deg)
0.0000         Minimum CD value
  -180.000 -0.000058  0.006022 -0.000015
  -179.000  0.012562  0.006438  0.003347
  -178.000  0.025636  0.007682  0.006841
  -177.000  0.039593  0.009754  0.010587
  -176.000  0.054966  0.012651  0.014736
  -175.000  0.072295  0.016370  0.019434
  -174.000  0.091973  0.020905  0.024794
  -173.000  0.114126  0.026252  0.030849
  -172.000  0.138556  0.032404  0.037553
  -171.000  0.164801  0.039353  0.044785
  -170.000  0.192256  0.047092  0.052388
  -169.000  0.220307  0.055610  0.060203
  -168.000  0.248423  0.064897  0.068095
  -167.000  0.276194  0.074941  0.075959
  -166.000  0.303339  0.085732  0.083727
  -165.000  0.329677  0.097255  0.091356
  -164.000  0.355103  0.109496  0.098824
  -163.000  0.379564  0.122441  0.106123
  -162.000  0.403041  0.136073  0.113251
  -161.000  0.425529  0.150376  0.120215
  -160.000  0.447035  0.165333  0.127019
  -159.000  0.467569  0.180926  0.133673
  -158.000  0.487141  0.197135  0.140182
  -157.000  0.505761  0.213940  0.146555
  -156.000  0.523435  0.231322  0.152797
  -155.000  0.540169  0.249258  0.158915
  -154.000  0.555965  0.267728  0.164913
  -153.000  0.570824  0.286708  0.170795
  -152.000  0.584747  0.306176  0.176566
  -151.000  0.597730  0.326107  0.182228
  -150.000  0.609773  0.346478  0.187784
  -149.000  0.620872  0.367263  0.193238
  -148.000  0.631023  0.388438  0.198591
  -147.000  0.640224  0.409976  0.203845
  -146.000  0.648471  0.431851  0.209003
  -145.000  0.655763  0.454036  0.214066
  -144.000  0.662096  0.476505  0.219036
  -143.000  0.667469  0.499229  0.223915
  -142.000  0.671882  0.522183  0.228705
  -141.000  0.675334  0.545336  0.233407
  -140.000  0.677827  0.568661  0.238022
  -139.000  0.679363  0.592130  0.242553
  -138.000  0.679945  0.615714  0.247001
  -137.000  0.679576  0.639384  0.251367
  -136.000  0.678262  0.663111  0.255654
  -135.000  0.676009  0.686866  0.259862
  -134.000  0.672825  0.710621  0.263993
  -133.000  0.668718  0.734346  0.268049
  -132.000  0.663697  0.758012  0.272031
  -131.000  0.657774  0.781591  0.275940
  -130.000  0.650960  0.805054  0.279778
  -129.000  0.643268  0.828371  0.283545
  -128.000  0.634712  0.851515  0.287244
  -127.000  0.625307  0.874457  0.290875
  -126.000  0.615069  0.897169  0.294439
  -125.000  0.604016  0.919623  0.297938
  -124.000  0.592165  0.941793  0.301371
  -123.000  0.579536  0.963650  0.304740
  -122.000  0.566148  0.985168  0.308045
  -121.000  0.552023  1.006320  0.311286
  -120.000  0.537182  1.027082  0.314464
  -119.000  0.521648  1.047426  0.317580
  -118.000  0.505445  1.067329  0.320632
  -117.000  0.488595  1.086765  0.323621
  -116.000  0.471125  1.105712  0.326546
  -115.000  0.453060  1.124144  0.329408
  -114.000  0.434426  1.142041  0.332205
  -113.000  0.413284  1.159380  0.334727
  -112.000  0.393523  1.176138  0.337394
  -111.000  0.373275  1.192297  0.339993
  -110.000  0.352565  1.207835  0.342525
  -109.000  0.331424  1.222733  0.344987
  -108.000  0.309879  1.236972  0.347377
  -107.000  0.287959  1.250536  0.349695
  -106.000  0.265695  1.263406  0.351937
  -105.000  0.243115  1.275566  0.354103
  -104.000  0.220249  1.287002  0.356189
  -103.000  0.197127  1.297697  0.358194
  -102.000  0.173779  1.307640  0.360115
  -101.000  0.150236  1.316816  0.361950
  -100.000  0.126526  1.325213  0.363696
   -99.000  0.102681  1.332820  0.365350
   -98.000  0.078729  1.339627  0.366910
   -97.000  0.054702  1.345625  0.368372
   -96.000  0.030628  1.350803  0.369734
   -95.000  0.006536  1.355155  0.370993
   -94.000 -0.017544  1.358673  0.372144
   -93.000 -0.041583  1.361350  0.373186
   -92.000 -0.065554  1.363182  0.374116
   -91.000 -0.089427  1.364164  0.374929
   -90.000 -0.113177  1.364290  0.375622
   -89.000 -0.136774  1.363559  0.376193
   -88.000 -0.160194  1.361966  0.376638
   -87.000 -0.183410  1.359509  0.376953
   -86.000 -0.206398  1.356187  0.377135
   -85.000 -0.229131  1.351998  0.377181
   -84.000 -0.251588  1.346940  0.377087
   -83.000 -0.273745  1.341012  0.376850
   -82.000 -0.295579  1.334212  0.376466
   -81.000 -0.317071  1.326539  0.375931
   -80.000 -0.338199  1.317990  0.375241
   -79.000 -0.358946  1.308561  0.374393
   -78.000 -0.379293  1.298249  0.373381
   -77.000 -0.399224  1.287045  0.372201
   -76.000 -0.418725  1.274943  0.370848
   -75.000 -0.437783  1.261928  0.369316
   -74.000 -0.456386  1.247986  0.367599
   -73.000 -0.474525  1.233095  0.365689
   -72.000 -0.492193  1.217226  0.363577
   -71.000 -0.509386  1.200344  0.361254
   -70.000 -0.526102  1.182401  0.358708
   -69.000 -0.542343  1.163337  0.355923
   -68.000 -0.558113  1.143074  0.352882
   -67.000 -0.573422  1.121512  0.349564
   -66.000 -0.588284  1.098525  0.345942
   -65.000 -0.602716  1.073951  0.341982
   -64.000 -0.616742  1.047587  0.337646
   -63.000 -0.630390  1.019174  0.332880
   -62.000 -0.643690  0.988393  0.327624
   -61.000 -0.656677  0.954843  0.321801
   -60.000 -0.669379  0.918040  0.315317
   -59.000 -0.681817  0.877411  0.308063
   -58.000 -0.693985  0.832305  0.299917
   -57.000 -0.705835  0.782041  0.290748
   -56.000 -0.717242  0.726008  0.280440
   -55.000 -0.727969  0.663845  0.268921
   -54.000 -0.737623  0.595730  0.256220
   -53.000 -0.745633  0.522749  0.242532
   -52.000 -0.751281  0.447229  0.228282
   -51.000 -0.753809  0.372809  0.214137
   -50.000 -0.752627  0.303971  0.200921
   -49.000 -0.747532  0.244979  0.189421
   -48.000 -0.738819  0.198622  0.180150
   -47.000 -0.727209  0.165441  0.173206
   -46.000 -0.713606  0.143861  0.168298
   -45.000 -0.698845  0.131050  0.164896
   -44.000 -0.683537  0.123922  0.162427
   -43.000 -0.668039  0.119864  0.160402
   -42.000 -0.652504  0.117064  0.158481
   -41.000 -0.636971  0.114551  0.156481
