RootFxb1	RootFyb1	RootFzb1	RootMxb1	RootMyb1	RootMzb1	RootFxc1	RootFyc1	RootMxc1	RootMyc1
515.4	71.9	803.9	-6607	11990	-227.8	473.2	-216.6	877.6	13660
-225.3	-177.4	785.3	9736	-14250	433.2	-285	-32.22	774.6	-17240
93.4	902.1	896.9	-36930	1831	-709.1	551.2	720.2	-30530	20870
143.8	-872.5	687.2	34880	-4881	1074	-337.3	-817.4	27080	-22520
14.86	141.1	1603	-4089	-2622	-254.7	87.65	111.6	-4857	-45.32
92.63	-24.08	-127.3	946.9	1995	-30.24	-8.929	-95.29	2121	-615
143.8	-830.4	815.4	34880	-2413	1074	-337.3	-769.2	28190	-20690
63.65	882.4	891.7	-37050	-329.7	-836.3	522.3	712.9	-31580	19390
442.8	-160.3	1297	10350	13810	-326.7	294.5	-367.5	16030	6390
-224.9	-264.5	772.5	12910	-14360	587.2	-329.7	-106.9	3422	-19550
-78.52	-525.5	847	25860	-11550	1579	-342.4	-404.1	16070	-23320
3.828	457.2	1197	-22690	-6754	-1143	238.7	390	-22930	5892
307.1	818.3	875	-35300	8193	-464.3	691.7	534.3	-25710	25540
-139.7	-646.9	813.4	29840	-11950	1371	-459.3	-476.5	19080	-25860
78.53	899	875.6	-36940	1365	-702.3	537	725.3	-30770	20480
341.2	-839.4	685.8	34270	6302	-555.9	-161.3	-891.6	32320	-13030
351.2	-828.7	609.1	34390	6892	-571.6	-147.5	-887.9	32730	-12610
-25.23	840.6	915.3	-35700	-3512	-912.8	431.4	721.9	-31970	16260
285.8	848.1	836.3	-36270	7661	-479.7	689.2	570.8	-26810	25590
-144.6	-646.9	801.6	29620	-12080	1371	-459.3	-476.5	18830	-25860
YawBrFxp	YawBrFyp	YawBrFzp	YawBrMxp	YawBrMyp	YawBrMzp
986.2	558.8	-3388	3013	-27100	-390.3
-636.2	-168.9	-3585	3925	30070	3236
370.3	733.2	-3320	5696	-10700	20890
-2.658	-833.6	-3115	4541	24510	7842
119.9	-100.9	-2844	3007	17290	19890
344.8	-219	-4083	841.1	-21310	-22440
401	10.46	-3368	7843	-16020	23650
258.7	-56.57	-3666	-2157	6441	-26730
63.11	-265.6	-3260	2114	33920	-7200
393.4	-316.2	-3717	2139	-35870	-8815
107.6	-371.4	-3240	5361	-6695	35000
386.2	31.07	-3524	1227	1180	-38240
TwrBsFxt	TwrBsFyt	TwrBsFzt	TwrBsMxt	TwrBsMyt	TwrBsMzt
1933	783.5	-11520	-72560	146500	-21210
-1047	-112.3	-11040	25910	-40580	-3833
1002	1172	-10900	-63500	86100	28590
-75.21	-1402	-11480	124600	-17500	-1554
-399.4	211.6	-10660	-1274	-7052	20180
1306	-140.7	-11900	20580	101800	-22780
-121.7	-1395	-11480	124800	-19310	-2027
1040	1170	-11510	-94910	89410	-18760
1933	827.2	-11520	-72560	146500	-20640
-990.9	-425.7	-11340	90660	-50920	-12390
686.9	714.7	-11060	-28100	52680	34990
271	-626.5	-11350	46960	48980	-38240
