RootFxb1	RootFyb1	RootFzb1	RootMxb1	RootMyb1	RootMzb1	RootFxc1	RootFyc1	RootMxc1	RootMyc1
504.2	-258.8	1096	8216	12980	-301.2	282.4	-491.3	13960	6429
-180.9	127	777.7	-6498	-12230	-292.7	-84.13	204.4	-12060	-6814
113.4	931.2	760.1	-38790	3458	-541	607.6	714.7	-30470	24250
206.8	-895.6	726	36630	-871.7	504	-312.9	-864.3	30280	-20630
124.3	53.65	1523	-287.4	548.6	-190.7	134.1	-18.82	17.62	1061
30.01	-20.11	-132.5	804.3	-152.6	-23.43	-15.01	-32.86	-20.99	-818.4
209.7	-890.5	684.2	36830	-746.3	521.3	-308	-861.5	30510	-20650
109.1	929.1	776	-38900	3404	-511.5	602.8	715.4	-30590	24270
503.2	-89.51	1110	1667	13200	-227.3	373.8	-348.6	8573	10770
-103.7	-485.5	830.9	22020	-12570	1037	-344.8	-357.1	12030	-22320
-24.85	-623.5	756	28090	-11120	1535	-363.5	-507.3	17530	-24600
49.83	801	996.4	-33880	-2171	-1251	478.1	644.6	-29590	16630
231.4	809.9	631	-34620	7202	-383.3	640.9	546.6	-24850	25150
-35.03	-662.6	944.3	28390	-8654	832.7	-385.2	-540.2	19310	-22540
101.5	929.5	756.4	-38660	3165	-551.7	596.8	719.9	-30520	23940
411.5	-790.3	761.1	31460	8314	-495.4	-83.3	-887.1	30940	-10090
434.4	-749	674	30830	11020	-707.2	-41.39	-864.9	31880	-7466
41.86	840.6	901.8	-35370	-2125	-1183	493.7	681.6	-30800	17520
231.4	809.9	631	-34620	7202	-383.3	640.9	546.6	-24850	25150
-21.17	-640.3	780.1	28130	-11130	1524	-365.8	-526	17560	-24630
YawBrFxp	YawBrFyp	YawBrFzp	YawBrMxp	YawBrMyp	YawBrMzp
977.9	295.2	-3357	3996	-8227	2061
-566.9	-192.2	-3457	4535	29020	2962
557.1	707.1	-3442	1932	-6579	-3281
-155.8	-696.2	-3103	3810	24180	12840
195.2	-257	-2790	3243	17490	14690
394.4	0.9768	-4145	1028	-685.8	-15560
36.38	-238.7	-3376	8015	20930	27250
471.8	-95.03	-3866	-1476	-7784	-24540
-419.3	-32.5	-3607	3723	29960	-4146
466.8	-231	-3599	3150	-34480	-6259
184.5	-188.7	-3477	5947	-4951	32900
16.35	-101.2	-3731	1334	1353	-38770
TwrBsFxt	TwrBsFyt	TwrBsFzt	TwrBsMxt	TwrBsMyt	TwrBsMzt
1802	1320	-11330	-80060	138200	5637
-912.3	-267.5	-11420	32870	-49930	-11370
1790	1331	-11310	-80320	138500	4463
430.9	-1200	-10970	84480	46820	29610
-233.4	59.07	-10610	20640	13560	15190
762.8	-94.84	-11970	6129	85850	-15620
109.6	-843.3	-11190	99830	15530	-2050
1194	988.3	-11380	-106300	95180	-7291
1616	503.9	-11380	-45530	144200	-6373
-889.5	-321.2	-11430	35410	-50510	-10280
1010	448.8	-11300	-18960	84720	32910
756	-68.8	-11550	13250	59730	-38760
