RootFxb1	RootFyb1	RootFzb1	RootMxb1	RootMyb1	RootMzb1	RootFxc1	RootFyc1	RootMxc1	RootMyc1
541.1	-232.3	1044	5128	9422	-149.8	365.9	-461.4	8987	5858
-301.6	-211.1	858.8	12310	-17710	688.9	-367	-29.21	1641	-21500
95.17	1016	809.7	-42880	1999	-929.4	637.9	796.2	-34720	25240
145.5	-936.5	740.4	38290	-4272	978	-396.7	-860.7	29540	-24730
77.19	261.5	1802	-7366	-1995	-356.3	202.3	182.8	-7325	2141
73.73	-17.12	-135	589.8	1729	-36.01	-4.987	-75.53	1801	-302.9
159.5	-925.2	691.5	38480	-3692	1007	-379.2	-858.9	30000	-24370
95.17	1016	809.7	-42880	1999	-929.4	637.9	796.2	-34720	25240
505	400	723	-21570	13160	-178.1	637.7	91.5	-12020	22230
-285.9	-336	880.9	17450	-18110	1105	-416.5	-145.3	5894	-24440
167	-858.2	616.4	36230	-6016	1854	-340.6	-805.2	26660	-25150
98.6	970.4	1270	-40060	-1050	-1452	592.9	774.9	-34710	19960
172.8	965.3	934.2	-40630	4131	-567.6	686.3	700.4	-31250	26290
-142.2	-751.9	909.2	33330	-13010	1635	-526.7	-555.1	20970	-28980
19.16	987.1	1136	-40970	-2896	-1304	532.3	831.5	-36450	18950
407.5	-923.3	814.4	37960	8497	-414.7	-150.4	-997.9	36660	-13190
430.3	-907.3	782.5	37770	9391	-411	-122.9	-996.6	36920	-12310
19.16	987.1	1136	-40970	-2896	-1304	532.3	831.5	-36450	18950
172.8	965.3	934.2	-40630	4131	-567.6	686.3	700.4	-31250	26290
-140.5	-745	874.2	33380	-13020	1699	-521.7	-550.1	21010	-29030
YawBrFxp	YawBrFyp	YawBrFzp	YawBrMxp	YawBrMyp	YawBrMzp
1049	225.4	-3653	2587	-24800	-13400
-699.1	33.98	-3490	4074	12130	330.2
105.9	727.5	-3301	6190	3714	25350
-78.59	-784.9	-3064	6371	7529	32300
-18.81	-433	-2817	3270	33730	10410
-78.49	-299.2	-4177	-257.3	-12960	-39890
558.7	29.21	-3184	8000	-17140	28050
330.2	13.07	-3657	-2974	5411	-31200
-197.9	-364.5	-3049	4964	37900	1085
359.7	-314.7	-3636	3628	-39820	-8640
23.13	-740	-3319	6151	-2766	38750
19.56	-78.66	-3772	898.1	228	-41790
TwrBsFxt	TwrBsFyt	TwrBsFzt	TwrBsMxt	TwrBsMyt	TwrBsMzt
2105	973.7	-11300	-53710	167900	14300
-1182	15.12	-10670	-201.1	-72090	20730
930.3	1416	-11010	-89330	75690	27280
-56.1	-1429	-11050	101800	-19960	-473.2
-561.9	419.1	-10640	16960	-13630	10970
837	-45.47	-12000	22580	46340	-39890
395.6	-1210	-11360	103100	33680	-18450
1028	1178	-11370	-98920	71180	-8616
2105	973.7	-11290	-52010	167900	14300
-1171	102	-10680	-2948	-72760	20590
716.9	1132	-11140	-33810	52300	38760
379.1	-325	-11590	31060	30720	-41790
