RootFxb1	RootFyb1	RootFzb1	RootMxb1	RootMyb1	RootMzb1	RootFxc1	RootFyc1	RootMxc1	RootMyc1
546.2	-362	825.9	10800	10360	-104	280.8	-592	14600	3290
-138.3	152.9	614.1	-3440	-8463	-59.75	-35.78	203	-7414	-5338
112.5	366.2	787.4	-14140	1423	-235.5	284.1	257	-11420	8460
320.8	-419.8	743.1	14790	4959	-33.16	53.53	-525.9	15210	-3522
153.6	72.81	1174	-2604	-1351	-210.7	169.7	-9.669	-2933	61.39
40.78	-6.533	-132.8	80.51	497.7	-30.42	0.1001	-41.3	504.2	0.4497
255.6	-407.9	825.6	14940	2210	21.07	9.575	-481.2	13950	-5782
116.7	359.3	754.8	-14720	-235.3	-516.2	285.8	247.2	-12720	7411
534.3	-211.9	722.2	4614	12560	-166.9	354.8	-452.3	10310	8526
-111.1	14.64	867.5	-916	-10580	-84.2	-87.61	69.8	-6240	-8686
30.97	-213	862.2	9549	-5969	313.6	-81.36	-199.3	5201	-9988
179.4	260	756.6	-11930	352.4	-535.4	286	134.3	-10130	6314
510.2	-103.1	853.5	-1447	9697	-283.6	389.5	-345.3	3617	9112
-44.09	-149.3	794.7	7566	-7209	197.1	-113.9	-106.1	2847	-10060
-17.08	312.4	745.6	-10720	-2998	-254.1	135.5	282	-10840	2538
530.7	-382.5	824.1	12080	10070	-88.8	256.9	-601.6	15540	2389
499.7	-392.3	818.7	13430	9389	-50.18	225.2	-579.3	16050	1284
114.6	360	754.6	-14710	-321.1	-513.3	284.3	248.8	-12760	7335
376.8	86.83	666.2	-4669	10010	-150.9	366.5	-112.1	981.7	11000
-4.632	-202.1	814.6	9246	-6562	279.1	-101.3	-177.4	4628	-10350
YawBrFxp	YawBrFyp	YawBrFzp	YawBrMxp	YawBrMyp	YawBrMzp
720.6	-109.2	-3704	3086	-434.4	-7642
-188.7	-162.7	-3329	3893	1233	8978
470.7	359.6	-3562	1627	-4129	-13090
475.3	-488.3	-3608	5115	-6248	4932
-3.721	-19.6	-2974	3689	8706	7410
540	36.66	-3998	2878	-13120	-2821
205.1	-401.7	-3535	5782	-11200	8247
-49.72	67.67	-3308	-273.8	-4771	-2252
275	29.62	-3186	2218	13130	2274
284.6	108.3	-3677	3171	-18590	4329
348.8	-17.75	-3361	3840	3425	13120
330.9	126.6	-3723	1757	-5569	-16390
TwrBsFxt	TwrBsFyt	TwrBsFzt	TwrBsMxt	TwrBsMyt	TwrBsMzt
1298	178.6	-11460	-2460	104200	-7364
-510.9	-22.75	-10990	8088	-16980	6606
1033	603.3	-11490	-39010	85540	-6861
803.9	-681.9	-11320	61640	75270	5512
174.7	-212.1	-10790	21280	19760	7846
956.6	249.2	-11820	-21750	99450	-3981
624	-646.2	-11300	68050	59740	-6759
116.5	498.7	-11430	-44020	9516	-6711
1104	-167	-11390	31880	121700	-4347
-379.1	-230.4	-11250	30050	-34270	-2115
650.8	10.55	-11180	2374	75580	13120
242.6	38.8	-11540	-9739	34150	-16390
